A|неопределенный артикль
EUROPEAN|европейский
EVALUATION|оценка (не estimation)
EVAPORATE|испаряться, выпаривать
EVEN|даже
EVENING|вечер
EVENINGS|вечерние (спектакли) e-
EVENT|событие
EVENTFUL|полный событий, знаменательный
EVENTS|События
EVENTUALLY|в конечном счете, в конце концов
EVER|когда-либо 
EVERY|каждый
EVERYBODY|каждый, всякий, все
EVERYDAY|повседневный
EVERYONE|все, каждый, всякий
EVERYTHING|все
EVERYWHERE|всюду, везде
EVIDENCE|доказательство e-
EVIDENT|очевидный, ясный
EVIDENTLY|очевидно
EVIL|зло, злой
EVOLUTION|Развитие
EXACT|точный
EXACTLY|точно, именно
EXAM|экзамен
EXAMINATION|экзамен
EXAMINE|рассматривать, рассмотреть
EXAMPLE|пример, образец (не pattern)
EXAMPLES|Примеры
EXAMS|экзамены (от exam)
EXASPERATION|раздражение, ожесточение
EXCAVATOR|экскаватор
EXCEED|превышать, превосходить
EXCEEDINGLY|чрезвычайно
EXCELLENT|превосходный, отличный
EXCEPT|исключая, кроме
EXCEPTING|за исключением -ing
EXCEPTION|исключение
EXCESS|избыток
EXCESSIVELY|Чрезмерно
EXCHANGE|обмен, обменивать
EXCHANGED|обменивал (от exchange)
EXCITE|возбуждать, волновать
EXCITED|взволнованный, возбуждённый
EXCITEDLY|Взволнованно (не thrilling)
EXCITEMENT|возбуждение
EXCITING|волнующий, великолепный
EXCLAIM|восклицать
EXCLAMATION|восклицание
EXCLUDE|исключать
EXCLUSIVE|исключительный, недоступный
EXCLUSIVELY|исключительно ***l-
EXCURSION|экскурсия
EXCUSE|извинять
EXECUTE|выполнять e-
EXECUTED|Выполненный
EXECUTION|выполнение
EXERCISE|упражнение
EXERT|напрягать(силы)
EXERTION|напряжение, усилие
EXHAUST|исчерпывать, истощать, выхлоп (тех.)
EXHAUSTED|изнуренный
EXHIBIT|экспонат, показывать
EXHIBITED|Показанный (не displayed)
EXHIBITION|выставка
EXIST|существовать, жить
EXISTENCE|существование
EXISTING|Существующий -ing
EXISTS|Существует
EXIT|выход, выезд
EXPANDED|Расширенный (не extended)
EXPANSION|расширение, распространение **pa-
EXPECT|ожидать
EXPECTATION|ожидание
EXPECTATIONS|ожидания (от expectation)
EXPECTED|предполагаемый, ожидаемый
EXPECTING|ожидающий (от expect)
EXPEDITION|экспедиция
EXPEL|изгонять, исключать
EXPELLED|Удаленный
EXPENSE|расход
EXPENSIVE|дорогой
EXPERIENCE|опыт
EXPERIENCED|опытный
EXPERIMENT|эксперимент
EXPERIMENTAL|экспериментальный
EXPERIMENTS|Эксперименты
EXPERT|эксперт
EXPLAIN|объяснять
EXPLAINED|объяснил (от explain)
EXPLANATION|объяснение
EXPLICIT|ясный  e-
EXPLODE|взрывать, подрывать
EXPLOIT|эксплуатировать
EXPLORATION|исследование
EXPLORE|исследовать
EXPLOSION|взрыв, вспышка
EXPLOSIVE|взрывчатый, взрывчатое вещество -ve
EXPORT|экспорт, экспортировать
EXPOSE|выставлять, подвергать, разоблачать
EXPOSED|Выставленный(подвергнутый)
EXPOSURE|Подвергание
EXPRESS|экспресс, выражать
EXPRESSING|выраженный -ing
EXPRESSION|выразительность, выражение
EXPRESSIVE|выразительный
EXPULSION|изгнание (не dejection)
EXQUISITE|изысканный
EXTEND|продлевать, растягивать
EXTENDED|растянутый
EXTENDING|Распространение(продление)
EXTENSION|расширение
EXTENSIVE|обширный
EXTENT|протяжение
EXTERIOR|внешний, внешность, внешний вид
EXTERNAL|наружный
EXTINCT|потухший (о вулкане), вымерший
EXTRA|сверх (не above)
EXTRACT|удалять, извлекать; экстракт, выдержка (из книги)
EXTRAORDINARY|необычный
EXTREME|чрезвычайный, крайность
EXTREMELY|крайне
EXTREMITY|конец, край, крайность, конечности
EYE|глаз
EYEBROW|бровь
EYEBROWS|брови 
FABLE|басня, сюжет
FACE|лицо
FACES|выходит, стоит лицом (от face)
FACILITATE|облегчать
FACILITY|легкость, способность, умение
FACING|сидящий лицом (от face)
FACT|сущность, факт
FADE|увядать
FADED|Исчез
FAIL|недоставать, не хватать;  обмануть ожидания
FAILED|потерпел неудачу, не удалось (от fail)
FAILING|Неудача -ing
FAILURE|неудача
FAINT|слабый
FAINTEST|малейший (от faint)
FAINTLY|слабо 
FAIR|любезно, хорошо, справедливый
FAIRFAX|Фаирфакс
FAIRLY|довольно (не rather)
FAIRY|волшебный
FAITH|вера
FAITHFUL|верный
FAITHFULLY|Искренне
FAITHLESS|ненадежный
FAKE|подделка 
FALCON|сокол
FALL|падать
FALLEN|упавший 
FALLING|падение
FALSE|ложный
FAME|слава, известность
FAMILIAR|близкий (f-)
FAMILY|семья
FAMINE|голод *a- (не hanger)
FAMOUS|известный
FAN|болельщик, поклонник
FANCIED|Представлял себе
FANCY|воображать, представлять себе
FANG|клык, корень зуба, зубец
FANGS|Клыки
FANNY|Фанни
FANTASTIC|фантастический
FANTASY|воображение
FAR|далеко
FAREWELL|прощание; прощайте! до свидания!
FARM|ферма
FARMER|фермер
FARRIER|Кузнец
FARTHER|дальше
FASCINATED|очаровал (от fascinate)
FASHION|мода
FASHIONABLE|модный
FASHIONED|Вылепленный
FAST|спешащий, сильно, быстро (fast)
FASTEN|прикреплять f-
FASTENED|Закрепленный (не attached)
FASTER|быстрее
FAT|жирный
FATAL|фатальный
FATE|судьба
FATHER|папа
FATIGUE|усталость, утомлять(ся)
FATTY|жирный 
FAUCET|водопроводный кран, вентиль
FAULT|вина, недостаток, ошибка
FAULTS|Ошибки f-
FAVOR|Польза(покровительство)
FAVORITE|любимый 
FAVOUR|одолжение, услуга, польза
FAVOURABLE|благоприятный
FAVOURITE|любимый
FEAR|страх, опасение, бояться, опасаться
FEARFUL|страшный
FEASIBLE|осуществимый
FEAST|пир (f-)
FEAT|подвиг, ловкость, искусство
FEATHER|предмет гордости, достижение
FEATHERS|перья 
FEATURE|особенность, характерная черта
FEATURES|Особенности
FEBRUARY|февраль
FED|Кормивший(питаемый)
FEE|гонорар, платить гонорар
FEEBLE|слабый, бледный
FEED|кормить
FEEDING|питание f-
FEEL|чувствовать
FEELING|чувство, чувствующий (от feel)
FEELINGS|страсти (от feeling)
FEELS|Чувства
FEET|ноги, ступни
FELL|упал (от fall)
FELLOW|человек, парень, приятель
FELT|чувствовал (от feel)
FEMALE|женщина, самка
FEMALES|Женщины
FEMININE|женский, женского рода (грам.)
FENCE|забор
FENCING|ограждение -ing
FERAL|Дикий (не от слова wild)
FERMENT|закваска, фермент; бродить (о вине, варенье)
FEROCIOUS|дикий
FEROCITY|свирепость
FERRY|перевоз f-
